iso_code,country,year,temperature(C),population,gdp,co2,co2_per_capita,gdp_per_capita,co2_per_gdp,share_global_co2,co2_growth_prct,co2_growth_abs,cumulative_co2,share_global_cumulative_co2
 AFG,Afghanistan,2016,14.513565,35383000.0,64297426944.0,6.745,0.191,1817.1841546505384,0.105,0.019,-14.67,-1.16,153.343,0.01
 ALB,Albania,2016,12.7223375,2886000.0,34351540224.0,4.496,1.558,11902.82059043659,0.131,0.013,-0.8079999999999999,-0.037000000000000005,266.10900000000004,0.017
 DZA,Algeria,2016,24.06706667,40551000.0,534000000000.0,148.839,3.67,13168.602500554856,0.279,0.423,-1.3119999999999998,-1.979,3956.021,0.256
 AGO,Angola,2016,22.55590833,28842000.0,148000000000.0,34.111,1.183,5131.405589071493,0.23,0.097,0.388,0.132,597.797,0.039
 ARG,Argentina,2016,14.506255,43508000.0,820000000000.0,190.93,4.388,18847.10857773283,0.233,0.542,-0.747,-1.436,7737.7469999999985,0.501
 ARM,Armenia,2016,7.921609167000001,2936000.0,27987372032.0,5.159,1.757,9532.48366212534,0.184,0.015,1.703,0.086,669.0210000000002,0.043
 AUS,Australia,2016,22.36016667,24263000.0,1070000000000.0,411.032,16.941,44100.07006553188,0.384,1.167,2.36,9.477,16939.874,1.097
 AUT,Austria,2016,7.679596667,8747000.0,395000000000.0,67.112,7.672999999999999,45158.340002286495,0.17,0.191,1.251,0.8290000000000001,5241.147,0.339
 AZE,Azerbaijan,2016,12.5073375,9736000.0,145000000000.0,37.278,3.829,14893.179950698439,0.257,0.106,0.214,0.08,2480.95,0.161
 BHR,Bahrain,2016,28.5921,1426000.0,56079929344.0,31.397,22.018,39326.73867040673,0.56,0.08900000000000001,-3.901,-1.275,792.92,0.051
 BGD,Bangladesh,2016,25.35675,157976992.0,533000000000.0,75.857,0.48,3373.9090310062365,0.142,0.215,4.15,3.023,1210.641,0.078
 BRB,Barbados,2016,27.05060833,286000.0,2956559872.0,1.285,4.492,10337.62193006993,0.435,0.004,1.758,0.022,50.184,0.003
 BLR,Belarus,2016,7.9362575,9446000.0,180000000000.0,60.285,6.3820000000000014,19055.684946008892,0.335,0.171,2.817,1.652,5043.928,0.327
 BEL,Belgium,2016,10.86216167,11354000.0,448000000000.0,99.807,8.79,39457.45992601726,0.223,0.28300000000000003,-1.163,-1.1740000000000002,12160.212,0.787
 BEN,Benin,2016,28.41668333,10872000.0,23265005568.0,6.74,0.62,2139.901174392936,0.29,0.019,10.921,0.664,88.396,0.006
 BOL,Bolivia,2016,21.07715,11032000.0,67114459136.0,20.693,1.876,6083.616672951414,0.308,0.059,6.551,1.272,438.686,0.028
 BIH,Bosnia and Herzegovina,2016,10.97529667,3386000.0,41870385152.0,21.733,6.417999999999998,12365.73690253987,0.519,0.062,17.725,3.272,864.841,0.056
 BWA,Botswana,2016,22.940175,2160000.0,32747714560.0,6.332999999999998,2.932,15160.978962962963,0.193,0.018000000000000002,16.75,0.909,122.336,0.008
 BRA,Brazil,2016,26.01928333,206163008.0,2810000000000.0,478.443,2.321,13629.991273701246,0.17,1.358,-3.387,-16.771,13708.151000000002,0.888
 BGR,Bulgaria,2016,12.06575583,7152000.0,128000000000.0,45.354,6.341,17897.09172259508,0.354,0.129,-5.894,-2.841,3657.683,0.237
 BFA,Burkina Faso,2016,29.13964167,18646000.0,30459793408.0,3.381,0.181,1633.5832568915584,0.111,0.01,2.543,0.084,47.778,0.003
 BDI,Burundi,2016,21.20525833,10488000.0,7680507904.0,0.443,0.042,732.3138733791,0.058,0.001,13.094,0.051,10.522,0.001
 KHM,Cambodia,2016,28.162125,15766000.0,52640825344.0,9.724,0.617,3338.8827441329445,0.185,0.028,15.128,1.278,101.149,0.006999999999999999
 CMR,Cameroon,2016,25.34681667,23927000.0,67720478720.0,8.26,0.345,2830.2954285953106,0.122,0.023,6.66,0.516,181.047,0.012
 CAN,Canada,2016,-4.965330833,36383000.0,1570000000000.0,564.033,15.503,43152.02154852541,0.359,1.601,-2.062,-11.874,31377.549,2.032
 CPV,Cape Verde,2016,23.73783333,531000.0,3601136128.0,0.539,1.014,6781.800617702448,0.15,0.002,9.701,0.048,10.958,0.001
 CAF,Central African Republic,2016,25.705075,4538000.0,3408833024.0,0.297,0.065,751.1751925958572,0.087,0.001,1.25,0.004,11.091,0.001
 TCD,Chad,2016,28.02565833,14562000.0,25979584512.0,0.993,0.068,1784.0670589204778,0.038,0.003,42.633,0.297,22.036,0.001
 CHL,Chile,2016,8.936416667,18209000.0,391000000000.0,84.154,4.622,21472.898017463893,0.215,0.239,3.088,2.521,2567.837,0.166
 CHN,China,2016,7.4453225,1414049024.0,16900000000000.0,9552.517,6.755,11951.49511308598,0.565,27.122,-1.35,-130.684,190103.88600000003,12.31
 COL,Colombia,2016,25.47451667,48175000.0,610000000000.0,100.801,2.092,12662.169174883238,0.165,0.28600000000000003,17.113,14.729,3054.88,0.198
 COM,Comoros,2016,25.73560833,796000.0,1361835008.0,0.202,0.253,1710.848,0.14800000000000002,0.001,19.565,0.033,4.052,0.0
 COG,Republic of the Congo ,2016,25.361925,4981000.0,20912119808.0,3.702,0.743,4198.377797229472,0.177,0.011,7.266,0.251,64.893,0.004
 CRI,Costa Rica,2016,25.30299167,4899000.0,68237692928.0,7.923999999999999,1.617,13928.902414370279,0.116,0.022,6.975,0.517,221.80900000000003,0.014
 HRV,Croatia,2016,11.911625,4209000.0,93290250240.0,18.105,4.302,22164.46905203136,0.194,0.051,1.481,0.264,1031.072,0.067
 CYP,Cyprus,2016,20.27791667,1170000.0,26539999232.0,7.3679999999999986,6.297999999999999,22683.76002735043,0.278,0.021,5.863,0.408,264.562,0.017
 CZE,Czech Republic,2016,9.361318333,10619000.0,328000000000.0,106.629,10.041,30888.030888030888,0.325,0.303,1.73,1.814,11573.842,0.7490000000000001
 COD,Democratic Republic of Congo,2016,24.90825,78789000.0,67812974592.0,1.996,0.025,860.6908907588622,0.029,0.006,-28.508000000000006,-0.7959999999999999,182.752,0.012
 DNK,Denmark,2016,9.056101667,5711000.0,259000000000.0,36.989,6.477,45351.07686919979,0.14300000000000002,0.105,5.1370000000000005,1.807,3955.699,0.256
 DJI,Djibouti,2016,28.80255833,929000.0,2874717952.0,0.398,0.429,3094.421907427341,0.138,0.001,-10.685,-0.048,17.535,0.001
 DMA,Dominica,2016,25.32338333,71000.0,723201984.0,0.18,2.529,10185.943436619718,0.248,0.001,2.083,0.004,4.188,0.0
 DOM,Dominican Republic,2016,24.85535,10398000.0,149000000000.0,24.629,2.369,14329.678784381611,0.165,0.07,4.8580000000000005,1.141,649.909,0.042
 ECU,Ecuador,2016,22.33038333,16491000.0,169000000000.0,39.505,2.396,10248.014068279668,0.234,0.112,-2.792,-1.135,1052.716,0.068
 EGY,Egypt,2016,23.54365,94447000.0,1110000000000.0,233.516,2.472,11752.623164314376,0.21,0.6629999999999999,6.48,14.212,5394.22,0.349
 SLV,El Salvador,2016,25.000725,6356000.0,51318595584.0,6.638,1.044,8074.039582127124,0.129,0.019,-1.146,-0.077,206.536,0.013
 GNQ,Equatorial Guinea,2016,25.37840833,1215000.0,23897874432.0,6.207000000000002,5.1080000000000005,19669.032454320986,0.26,0.018000000000000002,-3.531,-0.227,113.591,0.006999999999999999
 EST,Estonia,2016,6.4993050000000006,1317000.0,33684649984.0,17.378,13.195,25576.803328777525,0.516,0.049,9.892,1.564,1461.026,0.095
 ETH,Ethiopia,2016,23.71845833,103603000.0,184000000000.0,14.432,0.139,1776.0103471907184,0.078,0.041,13.697,1.739,196.231,0.013
 FIN,Finland,2016,3.1043775,5498000.0,211000000000.0,47.228,8.59,38377.591851582394,0.224,0.134,7.059,3.114,3018.748,0.195
 FRA,France,2016,11.76504917,64668000.0,2600000000000.0,341.026,5.273,40205.35659058576,0.131,0.968,0.746,2.525,37256.945,2.412
 GAB,Gabon,2016,25.79135,2008000.0,24926826496.0,5.297999999999999,2.639,12413.758215139442,0.213,0.015,0.945,0.05,240.093,0.016
GMB,Gambia,2016,28.37041667,2149000.0,3919500032.0,0.531,0.247,1823.8715830618892,0.136,0.002,1.399,0.006999999999999999,11.842,0.001
 GEO,Georgia,2016,7.252515832999999,4015000.0,51618291712.0,9.905,2.467,12856.361572104608,0.192,0.028,3.3,0.316,1010.883,0.065
 DEU,Germany,2016,9.882784167,82194000.0,3920000000000.0,800.51,9.739,47692.04564810084,0.204,2.273,0.59,4.694,89735.35,5.811
 GHA,Ghana,2016,28.219275,28482000.0,100000000000.0,16.547,0.581,3510.989396812022,0.165,0.047,2.682,0.4320000000000001,307.9770000000001,0.02
 GRC,Greece,2016,15.00654,10615000.0,264000000000.0,71.368,6.723,24870.466321243523,0.27,0.203,-4.789,-3.59,3809.018,0.247
 GTM,Guatemala,2016,24.60235833,16583000.0,108000000000.0,16.375999999999998,0.988,6512.693722486884,0.152,0.046,6.1560000000000015,0.95,366.766,0.024
 GIN,Guinea,2016,26.65730833,11738000.0,20171124736.0,2.744,0.234,1718.4464760606577,0.136,0.008,11.958,0.293,72.199,0.005
 GNB,Guinea-Bissau,2016,27.89948333,1782000.0,2381686016.0,0.293,0.16399999999999998,1336.5241391694724,0.123,0.001,5.263,0.015,8.9,0.001
 HTI,Haiti,2016,25.50158333,10840000.0,17155095552.0,3.235,0.298,1582.573390405904,0.189,0.009000000000000001,1.378,0.044,66.039,0.004
 HND,Honduras,2016,24.53654167,9271000.0,39440453632.0,9.554,1.031,4254.174698738,0.242,0.027000000000000003,-5.233,-0.528,218.437,0.014
 HUN,Hungary,2016,11.34245833,9753000.0,236000000000.0,47.396,4.86,24197.68276427766,0.201,0.135,1.6469999999999998,0.768,4821.476,0.312
 ISL,Iceland,2016,3.206224167,332000.0,14398300160.0,3.498,10.535,43368.37397590362,0.243,0.01,-1.346,-0.048,138.4,0.009000000000000001
 IND,India,2016,25.03953333,1324516992.0,7560000000000.0,2392.36,1.806,5707.741044971056,0.316,6.792999999999998,6.165,138.931,44272.395,2.867
 IDN,Indonesia,2016,26.77583333,261556000.0,2680000000000.0,568.194,2.172,10246.371713896833,0.212,1.6130000000000002,12.067,61.182,11772.649,0.762
 IRN,Iran,2016,18.63737,79564000.0,1250000000000.0,648.061,8.145,15710.622894776532,0.518,1.84,1.131,7.249,16020.986,1.037
 IRQ,Iraq,2016,22.93379167,36611000.0,544000000000.0,194.361,5.309,14858.922181857912,0.35700000000000004,0.552,17.335,28.715,3802.148,0.246
 IRL,Ireland,2016,9.649166667000001,4696000.0,262000000000.0,40.03,8.524,55792.163543441224,0.153,0.114,3.851,1.485,2074.534,0.134
 ISR,Israel,2016,20.99905,8109000.0,267000000000.0,63.907,7.881,32926.37809840917,0.239,0.181,-1.605,-1.043,2149.952,0.139
 ITA,Italy,2016,13.130942499999998,60663000.0,2130000000000.0,356.556,5.877999999999999,35112.012264477526,0.16699999999999998,1.012,-0.981,-3.532,23343.17,1.5119999999999998
 JAM,Jamaica,2016,25.88981667,2906000.0,21316925440.0,8.141,2.802,7335.487075017206,0.382,0.023,2.5810000000000004,0.205,421.452,0.027000000000000003
 JPN,Japan,2016,11.875195,127763000.0,4600000000000.0,1203.167,9.417,36004.16395983188,0.262,3.4160000000000004,-1.604,-19.614,61154.902,3.96
 JOR,Jordan,2016,20.19951833,9554000.0,88403697664.0,23.994,2.511,9253.056066987649,0.271,0.068,-5.048,-1.276,598.605,0.039
 KAZ,Kazakhstan,2016,7.624554167,17831000.0,420000000000.0,288.421,16.175,23554.483764230834,0.687,0.8190000000000001,-0.054000000000000006,-0.157,12366.675,0.8009999999999999
 KEN,Kenya,2016,25.75660833,49052000.0,150000000000.0,17.152,0.35,3057.9792872869607,0.114,0.049,5.222,0.851,398.101,0.026
 KWT,Kuwait,2016,26.85278333,3957000.0,283000000000.0,101.574,25.67,71518.82739449077,0.359,0.28800000000000003,5.515,5.309,2533.048,0.16399999999999998
 KGZ,Kyrgyzstan,2016,3.925733333,6074000.0,33957935104.0,9.64,1.587,5590.703836680935,0.284,0.027000000000000003,-6.2010000000000005,-0.637,823.2639999999999,0.053
 LAO,Laos,2016,24.40691667,6846000.0,44388155392.0,14.261,2.083,6483.808850715746,0.321,0.04,61.953,5.456,70.665,0.005
 LVA,Latvia,2016,7.101423333,1974000.0,45812883456.0,7.221,3.658,23208.147647416412,0.158,0.021,-0.7140000000000001,-0.052000000000000005,735.2180000000002,0.048
 LBN,Lebanon,2016,17.28815667,6714000.0,79116550144.0,26.502,3.947,11783.817417932678,0.335,0.075,2.843,0.733,626.112,0.041
 LSO,Lesotho,2016,14.4644225,2075000.0,5888294912.0,2.36,1.137,2837.7324877108435,0.401,0.006999999999999999,1.4169999999999998,0.033,53.282,0.003
 LBR,Liberia,2016,26.17398333,4587000.0,3496064000.0,1.358,0.29600000000000004,762.1678657074341,0.388,0.004,12.703,0.153,48.098,0.003
 LBY,Libya,2016,23.331275,6492000.0,52964032512.0,42.839,6.599,8158.353744916821,0.809,0.122,-15.745,-8.005,1889.747,0.122
 LTU,Lithuania,2016,7.759751667000001,2890000.0,75063795712.0,13.328,4.612,25973.631734256054,0.17800000000000002,0.038,0.228,0.03,1349.1029999999996,0.087
 LUX,Luxembourg,2016,10.19571833,579000.0,40329289728.0,9.08,15.683,69653.35013471503,0.225,0.026,-2.71,-0.253,717.453,0.046
 MDG,Madagascar,2016,22.66524167,24894000.0,31930009600.0,3.359,0.135,1282.6387723949547,0.105,0.01,-4.58,-0.161,81.258,0.005
 MWI,Malawi,2016,22.668675,17205000.0,17973999616.0,1.263,0.073,1044.696286893345,0.07,0.004,12.811,0.14300000000000002,44.74100000000001,0.003
