Temperature - (Celsius), Year, Statistics, Country, ISO3
25.3691,1901, Jan Average, Gabon, GAB
25.6487,1901, Feb Average, Gabon, GAB
25.2384,1901, Mar Average, Gabon, GAB
25.6844,1901, Apr Average, Gabon, GAB
24.7061,1901, May Average, Gabon, GAB
23.5796,1901, Jun Average, Gabon, GAB
22.8908,1901, Jul Average, Gabon, GAB
22.7422,1901, Aug Average, Gabon, GAB
23.9994,1901, Sep Average, Gabon, GAB
25.1318,1901, Oct Average, Gabon, GAB
25.0326,1901, Nov Average, Gabon, GAB
24.9693,1901, Dec Average, Gabon, GAB
25.6691,1902, Jan Average, Gabon, GAB
25.098,1902, Feb Average, Gabon, GAB
25.6544,1902, Mar Average, Gabon, GAB
25.4464,1902, Apr Average, Gabon, GAB
24.9988,1902, May Average, Gabon, GAB
24.0796,1902, Jun Average, Gabon, GAB
22.7908,1902, Jul Average, Gabon, GAB
23.6422,1902, Aug Average, Gabon, GAB
24.6994,1902, Sep Average, Gabon, GAB
25.1318,1902, Oct Average, Gabon, GAB
25.0326,1902, Nov Average, Gabon, GAB
24.9693,1902, Dec Average, Gabon, GAB
26.0691,1903, Jan Average, Gabon, GAB
25.998,1903, Feb Average, Gabon, GAB
26.1696,1903, Mar Average, Gabon, GAB
25.8651,1903, Apr Average, Gabon, GAB
25.2734,1903, May Average, Gabon, GAB
23.4796,1903, Jun Average, Gabon, GAB
22.9908,1903, Jul Average, Gabon, GAB
23.5422,1903, Aug Average, Gabon, GAB
24.9994,1903, Sep Average, Gabon, GAB
25.1318,1903, Oct Average, Gabon, GAB
25.0326,1903, Nov Average, Gabon, GAB
24.9693,1903, Dec Average, Gabon, GAB
25.6691,1904, Jan Average, Gabon, GAB
25.298,1904, Feb Average, Gabon, GAB
25.2619,1904, Mar Average, Gabon, GAB
25.4106,1904, Apr Average, Gabon, GAB
25.0742,1904, May Average, Gabon, GAB
23.8796,1904, Jun Average, Gabon, GAB
22.2908,1904, Jul Average, Gabon, GAB
22.7422,1904, Aug Average, Gabon, GAB
24.9994,1904, Sep Average, Gabon, GAB
25.1318,1904, Oct Average, Gabon, GAB
25.0326,1904, Nov Average, Gabon, GAB
24.9693,1904, Dec Average, Gabon, GAB
26.0691,1905, Jan Average, Gabon, GAB
26.198,1905, Feb Average, Gabon, GAB
26.5704,1905, Mar Average, Gabon, GAB
26.4481,1905, Apr Average, Gabon, GAB
25.7602,1905, May Average, Gabon, GAB
23.7796,1905, Jun Average, Gabon, GAB
22.6908,1905, Jul Average, Gabon, GAB
23.7422,1905, Aug Average, Gabon, GAB
24.3994,1905, Sep Average, Gabon, GAB
25.1318,1905, Oct Average, Gabon, GAB
25.0326,1905, Nov Average, Gabon, GAB
24.9693,1905, Dec Average, Gabon, GAB
25.4691,1906, Jan Average, Gabon, GAB
25.698,1906, Feb Average, Gabon, GAB
26.314,1906, Mar Average, Gabon, GAB
26.5318,1906, Apr Average, Gabon, GAB
25.1988,1906, May Average, Gabon, GAB
23.9796,1906, Jun Average, Gabon, GAB
23.0908,1906, Jul Average, Gabon, GAB
23.3422,1906, Aug Average, Gabon, GAB
24.9994,1906, Sep Average, Gabon, GAB
25.1318,1906, Oct Average, Gabon, GAB
25.0326,1906, Nov Average, Gabon, GAB
24.9693,1906, Dec Average, Gabon, GAB
25.2691,1907, Jan Average, Gabon, GAB
25.898,1907, Feb Average, Gabon, GAB
25.9811,1907, Mar Average, Gabon, GAB
25.8475,1907, Apr Average, Gabon, GAB
25.4996,1907, May Average, Gabon, GAB
23.9796,1907, Jun Average, Gabon, GAB
23.9908,1907, Jul Average, Gabon, GAB
24.0422,1907, Aug Average, Gabon, GAB
24.8994,1907, Sep Average, Gabon, GAB
25.1318,1907, Oct Average, Gabon, GAB
25.0326,1907, Nov Average, Gabon, GAB
24.9693,1907, Dec Average, Gabon, GAB
25.2691,1908, Jan Average, Gabon, GAB
25.298,1908, Feb Average, Gabon, GAB
25.8051,1908, Mar Average, Gabon, GAB
25.8966,1908, Apr Average, Gabon, GAB
24.7111,1908, May Average, Gabon, GAB
22.9796,1908, Jun Average, Gabon, GAB
22.9908,1908, Jul Average, Gabon, GAB
22.2422,1908, Aug Average, Gabon, GAB
24.2994,1908, Sep Average, Gabon, GAB
25.1318,1908, Oct Average, Gabon, GAB
25.0326,1908, Nov Average, Gabon, GAB
24.9693,1908, Dec Average, Gabon, GAB
