Temperature - (Celsius), Year, Statistics, Country, ISO3
22.0939, 1901, Jan Average, Haiti, HTI
22.7036, 1901, Feb Average, Haiti, HTI
23.2424, 1901, Mar Average, Haiti, HTI
23.8011, 1901, Apr Average, Haiti, HTI
24.564, 1901, May Average, Haiti, HTI
25.4298, 1901, Jun Average, Haiti, HTI
25.3979, 1901, Jul Average, Haiti, HTI
25.816, 1901, Aug Average, Haiti, HTI
25.7134, 1901, Sep Average, Haiti, HTI
24.9962, 1901, Oct Average, Haiti, HTI
22.8268, 1901, Nov Average, Haiti, HTI
21.842, 1901, Dec Average, Haiti, HTI
21.005, 1902, Jan Average, Haiti, HTI
21.9136, 1902, Feb Average, Haiti, HTI
23.0128, 1902, Mar Average, Haiti, HTI
23.3969, 1902, Apr Average, Haiti, HTI
24.5535, 1902, May Average, Haiti, HTI
25.3518, 1902, Jun Average, Haiti, HTI
25.5712, 1902, Jul Average, Haiti, HTI
25.8872, 1902, Aug Average, Haiti, HTI
25.4726, 1902, Sep Average, Haiti, HTI
24.8115, 1902, Oct Average, Haiti, HTI
23.7881, 1902, Nov Average, Haiti, HTI
22.6598, 1902, Dec Average, Haiti, HTI
22.2012, 1903, Jan Average, Haiti, HTI
23.0451, 1903, Feb Average, Haiti, HTI
23.2305, 1903, Mar Average, Haiti, HTI
23.4038, 1903, Apr Average, Haiti, HTI
24.3793, 1903, May Average, Haiti, HTI
25.3847, 1903, Jun Average, Haiti, HTI
25.4511, 1903, Jul Average, Haiti, HTI
25.6561, 1903, Aug Average, Haiti, HTI
25.1641, 1903, Sep Average, Haiti, HTI
24.4334, 1903, Oct Average, Haiti, HTI
23.1986, 1903, Nov Average, Haiti, HTI
21.9391, 1903, Dec Average, Haiti, HTI
21.8298, 1904, Jan Average, Haiti, HTI
22.3184, 1904, Feb Average, Haiti, HTI
22.6776, 1904, Mar Average, Haiti, HTI
23.0286, 1904, Apr Average, Haiti, HTI
23.9233, 1904, May Average, Haiti, HTI
24.693, 1904, Jun Average, Haiti, HTI
24.7781, 1904, Jul Average, Haiti, HTI
24.9315, 1904, Aug Average, Haiti, HTI
24.8562, 1904, Sep Average, Haiti, HTI
24.4206, 1904, Oct Average, Haiti, HTI
23.4143, 1904, Nov Average, Haiti, HTI
22.4791, 1904, Dec Average, Haiti, HTI
