Temperature - (Celsius), Year, Statistics, Country, ISO3
-15.419,1901, Jan Average, Kazakhstan, KAZ
-10.349,1901, Feb Average, Kazakhstan, KAZ
-2.1149,1901, Mar Average, Kazakhstan, KAZ
9.56311,1901, Apr Average, Kazakhstan, KAZ
15.4375,1901, May Average, Kazakhstan, KAZ
19.2708,1901, Jun Average, Kazakhstan, KAZ
22.971,1901, Jul Average, Kazakhstan, KAZ
19.8121,1901, Aug Average, Kazakhstan, KAZ
13.5261,1901, Sep Average, Kazakhstan, KAZ
2.58658,1901, Oct Average, Kazakhstan, KAZ
-1.653,1901, Nov Average, Kazakhstan, KAZ
-8.4378,1901, Dec Average, Kazakhstan, KAZ
-8.3293,1902, Jan Average, Kazakhstan, KAZ
-11.403,1902, Feb Average, Kazakhstan, KAZ
-4.5708,1902, Mar Average, Kazakhstan, KAZ
4.74046,1902, Apr Average, Kazakhstan, KAZ
15.2475,1902, May Average, Kazakhstan, KAZ
21.7861,1902, Jun Average, Kazakhstan, KAZ
23.3634,1902, Jul Average, Kazakhstan, KAZ
22.0686,1902, Aug Average, Kazakhstan, KAZ
14.5239,1902, Sep Average, Kazakhstan, KAZ
4.98745,1902, Oct Average, Kazakhstan, KAZ
-5.4839,1902, Nov Average, Kazakhstan, KAZ
-10.527,1902, Dec Average, Kazakhstan, KAZ
-12.165,1903, Jan Average, Kazakhstan, KAZ
-6.7964,1903, Feb Average, Kazakhstan, KAZ
-8.8295,1903, Mar Average, Kazakhstan, KAZ
5.18665,1903, Apr Average, Kazakhstan, KAZ
13.5592,1903, May Average, Kazakhstan, KAZ
19.3605,1903, Jun Average, Kazakhstan, KAZ
22.0912,1903, Jul Average, Kazakhstan, KAZ
20.7996,1903, Aug Average, Kazakhstan, KAZ
14.2344,1903, Sep Average, Kazakhstan, KAZ
5.5162,1903, Oct Average, Kazakhstan, KAZ
-4.2325,1903, Nov Average, Kazakhstan, KAZ
-12.006,1903, Dec Average, Kazakhstan, KAZ
-16.011,1904, Jan Average, Kazakhstan, KAZ
-7.7501,1904, Feb Average, Kazakhstan, KAZ
-6.0569,1904, Mar Average, Kazakhstan, KAZ
3.7405,1904, Apr Average, Kazakhstan, KAZ
16.2391,1904, May Average, Kazakhstan, KAZ
20.0751,1904, Jun Average, Kazakhstan, KAZ
22.8455,1904, Jul Average, Kazakhstan, KAZ
20.8758,1904, Aug Average, Kazakhstan, KAZ
13.8243,1904, Sep Average, Kazakhstan, KAZ
5.37256,1904, Oct Average, Kazakhstan, KAZ
-1.0679,1904, Nov Average, Kazakhstan, KAZ
-5.9981,1904, Dec Average, Kazakhstan, KAZ
-13.311,1905, Jan Average, Kazakhstan, KAZ
-13.689,1905, Feb Average, Kazakhstan, KAZ
-11.475,1905, Mar Average, Kazakhstan, KAZ
3.2863,1905, Apr Average, Kazakhstan, KAZ
14.6003,1905, May Average, Kazakhstan, KAZ
19.3503,1905, Jun Average, Kazakhstan, KAZ
22.2061,1905, Jul Average, Kazakhstan, KAZ
19.9309,1905, Aug Average, Kazakhstan, KAZ
15.4043,1905, Sep Average, Kazakhstan, KAZ
9.61643,1905, Oct Average, Kazakhstan, KAZ
-0.2611,1905, Nov Average, Kazakhstan, KAZ
-6.6891,1905, Dec Average, Kazakhstan, KAZ
-14.274,1906, Jan Average, Kazakhstan, KAZ
-16.136,1906, Feb Average, Kazakhstan, KAZ
-2.023,1906, Mar Average, Kazakhstan, KAZ
7.65544,1906, Apr Average, Kazakhstan, KAZ
15.5724,1906, May Average, Kazakhstan, KAZ
22.3964,1906, Jun Average, Kazakhstan, KAZ
