Temperature - (Celsius), Year, Statistics, Country, ISO3
19.4138, 1901, Jan Average, Oman, OMN
20.2476, 1901, Feb Average, Oman, OMN
23.9584, 1901, Mar Average, Oman, OMN
27.3062, 1901, Apr Average, Oman, OMN
30.1273, 1901, May Average, Oman, OMN
30.1337, 1901, Jun Average, Oman, OMN
29.0836, 1901, Jul Average, Oman, OMN
27.7119, 1901, Aug Average, Oman, OMN
28.1539, 1901, Sep Average, Oman, OMN
26.5092, 1901, Oct Average, Oman, OMN
24.264, 1901, Nov Average, Oman, OMN
22.4643, 1901, Dec Average, Oman, OMN
20.8407, 1902, Jan Average, Oman, OMN
21.5448, 1902, Feb Average, Oman, OMN
25.2294, 1902, Mar Average, Oman, OMN
27.5982, 1902, Apr Average, Oman, OMN
29.0227, 1902, May Average, Oman, OMN
29.6736, 1902, Jun Average, Oman, OMN
27.6913, 1902, Jul Average, Oman, OMN
27.0051, 1902, Aug Average, Oman, OMN
27.1745, 1902, Sep Average, Oman, OMN
25.5639, 1902, Oct Average, Oman, OMN
22.2509, 1902, Nov Average, Oman, OMN
19.6474, 1902, Dec Average, Oman, OMN
18.8519, 1903, Jan Average, Oman, OMN
19.1087, 1903, Feb Average, Oman, OMN
21.802, 1903, Mar Average, Oman, OMN
24.7627, 1903, Apr Average, Oman, OMN
29.0192, 1903, May Average, Oman, OMN
29.7783, 1903, Jun Average, Oman, OMN
27.6794, 1903, Jul Average, Oman, OMN
28.2821, 1903, Aug Average, Oman, OMN
27.4058, 1903, Sep Average, Oman, OMN
24.6699, 1903, Oct Average, Oman, OMN
21.5971, 1903, Nov Average, Oman, OMN
19.9656, 1903, Dec Average, Oman, OMN
20.1058, 1904, Jan Average, Oman, OMN
20.108, 1904, Feb Average, Oman, OMN
22.399, 1904, Mar Average, Oman, OMN
25.6659, 1904, Apr Average, Oman, OMN
27.8877, 1904, May Average, Oman, OMN
28.7346, 1904, Jun Average, Oman, OMN
28.0878, 1904, Jul Average, Oman, OMN
26.9287, 1904, Aug Average, Oman, OMN
26.3477, 1904, Sep Average, Oman, OMN
25.1978, 1904, Oct Average, Oman, OMN
24.4243, 1904, Nov Average, Oman, OMN
20.7597, 1904, Dec Average, Oman, OMN
18.6358, 1905, Jan Average, Oman, OMN
18.9758, 1905, Feb Average, Oman, OMN
21.5217, 1905, Mar Average, Oman, OMN
26.1572, 1905, Apr Average, Oman, OMN
28.4458, 1905, May Average, Oman, OMN
29.277, 1905, Jun Average, Oman, OMN
28.0687, 1905, Jul Average, Oman, OMN
27.4492, 1905, Aug Average, Oman, OMN
27.0713, 1905, Sep Average, Oman, OMN
26.433, 1905, Oct Average, Oman, OMN
23.7469, 1905, Nov Average, Oman, OMN
20.5761, 1905, Dec Average, Oman, OMN
18.902, 1906, Jan Average, Oman, OMN
19.2755, 1906, Feb Average, Oman, OMN
21.8416, 1906, Mar Average, Oman, OMN
24.7591, 1906, Apr Average, Oman, OMN
29.034, 1906, May Average, Oman, OMN
28.7447, 1906, Jun Average, Oman, OMN
27.8574, 1906, Jul Average, Oman, OMN
26.3686, 1906, Aug Average, Oman, OMN
26.01, 1906, Sep Average, Oman, OMN
25.5285, 1906, Oct Average, Oman, OMN
24.6212, 1906, Nov Average, Oman, OMN
22.2626, 1906, Dec Average, Oman, OMN
19.8407, 1907, Jan Average, Oman, OMN
18.8148, 1907, Feb Average, Oman, OMN
22.37, 1907, Mar Average, Oman, OMN
25.0734, 1907, Apr Average, Oman, OMN
29.0267, 1907, May Average, Oman, OMN
28.9503, 1907, Jun Average, Oman, OMN
28.0679, 1907, Jul Average, Oman, OMN
26.6267, 1907, Aug Average, Oman, OMN
26.3899, 1907, Sep Average, Oman, OMN
25.7538, 1907, Oct Average, Oman, OMN
21.8523, 1907, Nov Average, Oman, OMN
20.4757, 1907, Dec Average, Oman, OMN
19.6968, 1908, Jan Average, Oman, OMN
